ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX19 - azelastine
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07B - BETA BLOCKING AGENTS AND THIAZIDES;C07BA - Beta blocking agents -  non-selective -  and thiazides;C07BA07 - sotalol and thiazides
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AA - Progestogens and estrogen systemic contraceptives -  fixed combinations;G03AA08 - medroxyprogesterone and ethinylestradiol
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10AF - Antiinfectives for treatment of acne;D10AF04 - meclocycline
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AE - Direct thrombin inhibitors;B01AE06 - bivalirudin
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AH - Coxibs;M01AH02 - rofecoxib
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BD - Combinations of oral blood glucose lowering drugs;A10BD03 - metformin and rosiglitazone
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H04 - PANCREATIC HORMONES;H04A - GLYCOGENOLYTIC HORMONES;H04AA - Glycogenolytic hormones;H04AA01 - glucagon
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CE - Beta-lactamase sensitive penicillins;J01CE03 - propicillin
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03A - MUSCLE RELAXANTS -  PERIPHERALLY ACTING AGENTS;M03AA - Curare alkaloid muscle relaxants -  peripherally acting;M03AA04 - dimethyltubocurarine
D - DERMATOLOGICALS;D09 - MEDICATED DRESSINGS;D09A - MEDICATED DRESSINGS;D09AA - Medicated dressings with antiinfectives;D09AA06 - triclosan
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AA - Non-selective monoamine reuptake inhibitors;N06AA10 - nortriptyline
G - GENITO URINARY SYSTEM AND SEX HORMONES;G02 - OTHER GYNECOLOGICALS in ATC;G02A - UTEROTONICS;G02AB - Ergot alkaloid oxytocics;G02AB03 - ergometrine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA26 - belimumab
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BX - ACE inhibitors -  other combinations in ATC;C09BX02 - perindopril and bisoprolol
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB12 - bibenzonium bromide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01R - COMBINATIONS OF ANTIBACTERIALS;J01RA - Combinations of antibacterials;J01RA02 - sulfonamides -  combinations with other antibacterials (excl. trimethoprim)
M - MUSCULO-SKELETAL SYSTEM DRUGS;M05 - DRUGS FOR TREATMENT OF BONE DISEASES;M05B - DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION;M05BA - Bisphosphonate drugs affecting bone structure and mineralization;M05BA02 - clodronic acid
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DB - Xanthines and adrenergics;R03DB02 - choline theophyllinate and adrenergics
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GA - Sympathomimetics used as decongestants;S01GA04 - oxymetazoline
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CE - Beta-lactamase sensitive penicillins;J01CE06 - penamecillin
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DX - Other vasodilators used in cardiac diseases in ATC;C01DX21 - serelaxin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AR - Antivirals for treatment of HIV infections -  combinations;J05AR16 - lamivudine and raltegravir
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08D - ULTRASOUND CONTRAST MEDIA;V08DA - Ultrasound contrast media;V08DA02 - microparticles of galactose
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03A - MUSCLE RELAXANTS -  PERIPHERALLY ACTING AGENTS;M03AX - Other peripherally acting muscle relaxants in ATC;M03AX01 - botulinum toxin
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CE - Piperidinedione derivatives -  hypnotics and sedatives;N05CE01 - glutethimide
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BX - Other psychostimulants and nootropics in ATC;N06BX03 - piracetam
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE24 - ponatinib
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CX - Other cardiac stimulants in ATC;C01CX06 - angiotensinamide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J02 - ANTIMYCOTICS FOR SYSTEMIC USE;J02A - ANTIMYCOTICS FOR SYSTEMIC USE;J02AC - Triazole derivatives -  systemic antimycotics;J02AC03 - voriconazole
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08A - X-RAY CONTRAST MEDIA -  IODINATED;V08AB - Watersoluble -  nephrotropic -  low osmolar X-ray contrast media;V08AB05 - iopromide
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03D - PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03DC - Estren derivatives -  sex hormones and modulators of the genital system;G03DC04 - ethisterone
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08D - ULTRASOUND CONTRAST MEDIA;V08DA - Ultrasound contrast media;V08DA05 - sulfur hexafluoride
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX12 - bismuth subnitrate
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XY - Combinations of antineoplastic agents;L01XY01 - cytarabine and daunorubicin
M - MUSCULO-SKELETAL SYSTEM DRUGS;M03 - MUSCLE RELAXANTS;M03A - MUSCLE RELAXANTS -  PERIPHERALLY ACTING AGENTS;M03AC - Other quaternary ammonium compounds in ATC -  muscle relaxants -  peripherally acting;M03AC04 - atracurium
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CB - Synthetic estrogens -  plain;G03CB01 - dienestrol
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BA - ACE inhibitors and diuretics;C09BA15 - zofenopril and diuretics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BF - Alpha glucosidase inhibitors -  blood glucose lowering;A10BF03 - voglibose
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XB - Amino Acids -  I.V. solution additive;B05XB02 - alanyl glutamine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA13 - pegfilgrastim
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DA - Organic nitrates used in cardiac disease;C01DA09 - trolnitrate
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XA - Platinum compounds -  antineoplastic drugs;L01XA01 - cisplatin
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AA - HMG CoA reductase inhibitors -  plain lipid modifying drugs;C10AA03 - pravastatin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AA - antacids containing magnesium compounds;A02AA10 - Magnesium antacid compound combinations
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01B - ANTIMETABOLITES;L01BB - Purine analogs -  antimetabolites antineoplastic;L01BB03 - tioguanine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01D - CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES;L01DB - Anthracyclines and related substances;L01DB01 - doxorubicin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BB - Influenza vaccines;J07BB03 - influenza -  live attenuated
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CB - Salt irrigating solutions;B05CB02 - sodium citrate
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AA - HMG CoA reductase inhibitors -  plain lipid modifying drugs;C10AA06 - cerivastatin
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CX - Other irrigating solutions in ATC;B05CX01 - glucose
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AK - Adrenergics inhalants in combination with corticosteroids or other drugs -  excl. anticholinergics;R03AK06 - salmeterol and fluticasone
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CX - Other cardiac stimulants in ATC;C01CX09 - angiotensin II
M - MUSCULO-SKELETAL SYSTEM DRUGS;M05 - DRUGS FOR TREATMENT OF BONE DISEASES;M05B - DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION;M05BC - Bone morphogenetic proteins;M05BC02 - eptotermin alfa
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB19 - physostigmine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY;G04CA - Alpha-adrenoreceptor antagonists -  benign prostatic hypertrophy;G04CA53 - tamsulosin and solifenacin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01A - ALKYLATING AGENTS;L01AA - Nitrogen mustard analogues;L01AA03 - melphalan
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01B - ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION;M01BA - Antiinflammatory/antirheumatic agents in combination with corticosteroids;M01BA03 - acetylsalicylic acid and corticosteroids
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01B - LOCAL ANESTHETICS;N01BA - Esters of aminobenzoic acid for local anesthesia;N01BA53 - tetracaine -  combinations
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AX - Other nasal preparations in ATC;R01AX30 - other nasal preparation combinations in ATC
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BD - Drugs for urinary frequency and incontinence;G04BD01 - emepronium
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02D - ARTERIOLAR SMOOTH MUSCLE -  AGENTS ACTING ON;C02DB - Hydrazinophthalazine derivatives acting on arteriolar smooth muscle;C02DB01 - dihydralazine
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AK - Adrenergics inhalants in combination with corticosteroids or other drugs -  excl. anticholinergics;R03AK09 - formoterol and mometasone
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB06 - thiosulfate
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LA - Rauwolfia alkaloids and diuretics in combination;C02LA09 - syrosingopine and diuretics
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AD - Corticosteroid nasal preparations for topical use;R01AD53 - dexamethasone -  combinations
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IX - Other diagnostic radiopharmaceuticals for tumour detection in ATC;V09IX07 - fluorocholine(18F)
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB02 - cinchocaine
M - MUSCULO-SKELETAL SYSTEM DRUGS;M09 - OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC;M09A - OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC;M09AX - Other drugs for disorders of the musculo-skeletal system in ATC;M09AX07 - nusinersen
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA16 - empegfilgrastim
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AC - Platelet aggregation inhibitors excl. heparin;B01AC30 - Platelet aggregation inhibitor combinations excl. heparin
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02B - Corticosteroid otologicals;S02BA - Corticosteroids;S02BA07 - betamethasone
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02A - ANTIADRENERGIC AGENTS -  CENTRALLY ACTING;C02AC - Imidazoline receptor agonists;C02AC04 - tolonidine
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H03 - THYROID THERAPY DRUGS;H03B - ANTITHYROID PREPARATIONS;H03BA - Thiouracil antithyroid preparations;H03BA01 - methylthiouracil
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07A - BETA BLOCKING AGENTS;C07AA - Beta blocking agents -  non-selective;C07AA14 - mepindolol
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BG - Other analgesics and antipyretics in ATC;N02BG03 - glafenine
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BB - Pyrazolones -  analgesics and antipyretics;N02BB74 - propyphenazone -  combinations with psycholeptics
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BB - ACE inhibitors and calcium channel blockers;C09BB05 - ramipril and felodipine
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB05 - quinisocaine
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AA - Non-selective monoamine reuptake inhibitors;N06AA07 - lofepramine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02A - ANTIADRENERGIC AGENTS -  CENTRALLY ACTING;C02AA - Rauwolfia alkaloids -  centrally acting antiadrenergic;C02AA06 - methoserpidine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A05 - BILE AND LIVER THERAPY DRUGS;A05A - BILE THERAPY DRUGS;A05AB - Preparations for biliary tract therapy;A05AB01 - nicotinyl methylamide
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AC - Oxicams -  antiinflammatory and antirheumatic drugs;M01AC04 - droxicam
M - MUSCULO-SKELETAL SYSTEM DRUGS;M09 - OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC;M09A - OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC;M09AB - Enzymes FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM;M09AB52 - trypsin -  combinations
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09G - CARDIOVASCULAR SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09GA - Technetium 99m compounds -  cardiovascular system diagnostic radiopharmaceuticals;V09GA05 - technetium (99mTc) furifosmin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AD - antacids containing combinations and complexes of aluminium -  calcium and magnesium compounds;A02AD01 - ordinary salt combinations
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AC - Interleukin inhibitors;L04AC09 - briakinumab
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02K - OTHER ANTIHYPERTENSIVES in ATC;C02KC - MAO inhibitors -  antihypertensives;C02KC01 - pargyline
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03H - ANTIANDROGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03HB - Antiandrogens and estrogens;G03HB01 - cyproterone and estrogen
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10B - ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE;D10BX - Other anti-acne preparations for systemic use in ATC;D10BX01 - ichtasol
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BA - ACE inhibitors and diuretics;C09BA12 - delapril and diuretics
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09D - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs) -  COMBINATIONS;C09DA - Angiotensin II receptor blockers (ARBs) and diuretics;C09DA10 - fimasartan and diuretics
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AB - Phenothiazines with piperazine structure -  antipsychotics;N05AB02 - fluphenazine
C - CARDIOVASCULAR SYSTEM DRUGS;C04 - PERIPHERAL VASODILATORS;C04A - PERIPHERAL VASODILATORS;C04AX - Other peripheral vasodilators in ATC;C04AX01 - cyclandelate
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AX - Other throat preparations in ATC;R02AX01 - flurbiprofen
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BE - Artemisinin and derivatives -  plain;P01BE03 - artesunate
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01A - CARDIAC GLYCOSIDES;C01AB - Scilla glycosides used in cardiac therapy;C01AB01 - proscillaridin
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DA - Xanthines -  systemic for obstructive airway disease;R03DA11 - doxofylline
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AD - Benzomorphan derivative analgesics;N02AD02 - phenazocine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AX - Other antipsychotics in ATC;N05AX17 - pimavanserin
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AA - Antibiotics -  ophthalmologic;S01AA02 - chlortetracycline
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE21 - regorafenib
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BE - Anilide analgesics and antipyretics;N02BE05 - propacetamol
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07A - BETA BLOCKING AGENTS;C07AA - Beta blocking agents -  non-selective;C07AA17 - bopindolol
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03A - ECTOPARASITICIDES -  INCL. SCABICIDES;P03AX - Other ectoparasiticides -  incl. scabicides in ATC;P03AX03 - malathion
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06A - ANTIBIOTICS FOR TOPICAL USE;D06AX - Other antibiotics for topical use in ATC;D06AX08 - tyrothricin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX10 - masoprocol
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03C - HIGH-CEILING DIURETICS;C03CA - sulfonamides -  high-ceiling diuretics -  plain;C03CA04 - torasemide
N - NERVOUS SYSTEM DRUGS;N03 - ANTIEPILEPTICS;N03A - ANTIEPILEPTICS;N03AX - Other antiepileptics in ATC;N03AX12 - gabapentin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01A - Tetracycline antibiotics;J01AA - Tetracyclines;J01AA07 - tetracycline
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01B - ANTIINFLAMMATORY AGENTS -  OPHTHALMOLOGIC;S01BA - Corticosteroid ophthalmologic antiinflammatory agents -  plain;S01BA01 - dexamethasone
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FB - Progestogens and estrogens -  sequential preparations;G03FB11 - trimegestone and estrogen
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AX - Other lipid modifying agents in ATC;C10AX12 - lomitapide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AH - Meningococcal vaccines;J07AH05 - other meningococcal polyvalent purified polysaccharides antigen
C - CARDIOVASCULAR SYSTEM DRUGS;C08 - CALCIUM CHANNEL BLOCKERS;C08C - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS;C08CA - Dihydropyridine derivative selective calcium channel blockers with mainly vascular effects;C08CA15 - benidipine
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P02 - ANTHELMINTICS;P02C - ANTINEMATODAL AGENTS;P02CA - Benzimidazole derivatives -  antinematodal;P02CA06 - fenbendazole
